Time,Used
41772.113288,1660697272
41772.113334,1742936760
41772.113381,1813958288
41772.113427,1934502280
41772.113473,2043787736
41772.113520,2127647072
41772.113566,841124616
41772.113612,1030393656
41772.113659,1110788320
41772.113705,1215860888
41772.113751,1324783336
41772.113797,1389472256
41772.113844,1463901096
41772.113890,1567760808
41772.113936,1633030472
41772.113983,1794816192
41772.114029,1866682344
41772.114075,1939988000
41772.114121,2094542872
41772.114168,913532064
41772.114214,1035915640
41772.114260,1100183848
41772.114307,1160157984
41772.114353,1327865112
41772.114399,1396942184
41772.114446,1456167184
41772.114492,1514561232
41772.114538,1628732384
41772.114584,1807046976
41772.114631,1882132096
41772.114677,1940096280
41772.114723,2122172040
41772.114770,820578272
41772.114816,1039846456
41772.114862,1158999240
41772.114909,1374221416
41772.114955,1494074712
41772.115001,1612278464
41772.115047,1714875088
41772.115094,850048760
41772.115140,1148181296
41772.115186,1210009944
41772.115233,1283142136
41772.115279,1376625976
41772.115325,1452729080
41772.115371,1535941544
41772.115418,1684269008
41772.115464,1879648728
41772.115511,1998336160
41772.115557,2111648896
41772.115603,829171688
41772.115649,903446144
41772.115696,961128944
41772.115742,1021379776
41772.115788,1126702160
41772.115834,1359967640
41772.115881,1427012872
41772.115927,1504862344
41772.115973,1610072072
41772.116020,1680705672
41772.116066,1735988104
41772.116112,1806995248
41772.116159,1918532016
41772.116205,2144401696
41772.116251,978312696
41772.116297,1101668200
41772.116344,1171788088
41772.116390,1229171048
41772.116436,1284324664
41772.116483,1349140160
41772.116529,1471429208
41772.116575,1578784128
41772.116621,1675102568
41772.116668,1863002760
41772.116714,1933713184
41772.116760,1988098424
41772.116807,2057403984
41772.116853,2122685728
41772.116899,936247968
41772.116946,1086322712
41772.116992,1209063048
41772.117038,1327979920
41772.117084,1447009888
41772.117131,1508853008
41772.117177,1567744400
41772.117223,1629503616
41772.117270,1781686024
41772.117316,1870930248
41772.117362,1965224280
41772.117409,2031096128
41772.117455,2148950296
41772.117501,886540864
41772.117547,955940208
41772.117594,1090117336
41772.117640,1311377312
41772.117686,1430124016
41772.117733,1500798632
41772.117779,1549672760
41772.117825,1607768672
41772.117871,1720504968
41772.117918,1835186888
41772.117964,1903610520
41772.118010,2089145192
41772.118057,2187949256
41772.118103,893494864
41772.118149,955245848
41772.118196,1032196832
41772.118242,1104725432
41772.118288,1384220776
41772.118334,1556363696
41772.118381,1860911032
41772.118427,1937922616
41772.118473,1992911984
41772.118520,2050456280
41772.118566,2122026960
41772.118612,1130449152
41772.118659,1419972408
41772.118705,1546694296
41772.118751,1819824880
41772.118797,1879857752
41772.118844,1942411624
41772.118890,2016164512
41772.118936,2083018112
41772.118983,2205569104
41772.119029,927616288
41772.119075,1049523096
41772.119121,1297291736
41772.119168,1399299256
41772.119214,1453903096
41772.119260,1513450152
41772.119307,1567790936
41772.119353,1637188152
41772.119399,1712022056
41772.119446,1803225336
41772.119492,1983988712
41772.119538,2128689984
41772.119584,2221630320
41772.119631,933845040
41772.119677,1054701184
41772.119723,1186421144
41772.119770,1302992072
41772.119816,1374451072
41772.119862,1535086984
41772.119909,1601106448
41772.119955,1754315096
41772.120001,1826414384
41772.120047,1890075128
41772.120094,1968712696
41772.120140,2069390664
41772.120186,2154054352
41772.120233,904924672
41772.120279,979381728
41772.120325,1060193232
41772.120371,1270718248
41772.120418,1412134456
41772.120464,1533372320
41772.120510,1613620920
41772.120557,1691675504
41772.120603,1843932384
41772.120649,1901293392
41772.120696,1958492568
41772.120742,2037380328
41772.120788,2215242288
41772.120834,958144360
41772.120881,1027195272
41772.120927,1108342600
41772.120973,1257550984
41772.121020,1334352480
41772.121066,1463001224
41772.121112,1591897632
41772.121159,1768732840
41772.121205,1892484536
41772.121251,1952867736
41772.121297,2067122888
41772.121344,2177190976
41772.121390,2234295576
41772.121436,898918576
41772.121483,995275880
41772.121529,1100391840
41772.121575,1232994392
41772.121621,1350170104
41772.121668,1494126080
41772.121714,1601414072
41772.121760,1725663352
41772.121807,1930517528
41772.121853,2046221992
41772.121899,2228251256
41772.121946,937471648
41772.121992,1058921944
41772.122038,1273582008
41772.122084,1352923008
41772.122131,1750833320
41772.122177,2055029528
41772.122223,2156439288
41772.122270,2228300392
41772.122316,2283036240
41772.122362,974757408
41772.122409,1206967040
41772.122455,1391387072
41772.122501,1513445584
41772.122547,1635437928
41772.122594,1715811696
41772.122640,1770117440
41772.122686,1820583784
41772.122733,1872110904
41772.122779,2039424032
41772.122825,2175093232
41772.122871,2299114968
41772.122918,1031290952
41772.122964,1105480800
41772.123010,1166075864
41772.123057,1235349760
41772.123103,1309165224
41772.123149,1529341128
41772.123196,1650782944
